x,y,theta
8.835423494368567887e+00,1.852720747739578178e+00,8.800000000000004485e-01
8.897584491195633660e+00,1.931053438702326597e+00,9.000000000000004663e-01
8.958166506859980061e+00,2.010613600705963400e+00,9.200000000000004841e-01
9.017145309363089112e+00,2.091369410746474866e+00,9.400000000000005018e-01
9.074497307970334603e+00,2.173288567576574515e+00,9.600000000000005196e-01
9.130199562646955869e+00,2.256338304625771674e+00,9.800000000000005373e-01
9.184229793233770422e+00,2.340485403106561169e+00,1.000000000000000444e+00
9.236566388358935953e+00,2.425696205301497432e+00,1.020000000000000462e+00
9.287188414082214294e+00,2.511936628025831286e+00,1.040000000000000480e+00
9.336075622268266372e+00,2.599172176260330147e+00,1.060000000000000497e+00
9.383208458685640352e+00,2.687367956948825132e+00,1.080000000000000515e+00
9.428568070828198699e+00,2.776488692954968585e+00,1.100000000000000533e+00
9.472136315455870204e+00,2.866498737172618938e+00,1.120000000000000551e+00
9.513895765851705377e+00,2.957362086784207200e+00,1.140000000000000568e+00
9.553829718792332670e+00,3.049042397661383852e+00,1.160000000000000586e+00
9.591922201229021283e+00,3.141502998902185873e+00,1.180000000000000604e+00
9.628157976676687824e+00,3.234706907498908546e+00,1.200000000000000622e+00
9.662522551308292407e+00,3.328616843130815184e+00,1.220000000000000639e+00
